,CAS_No,SupplementalRecordUI,Agent,Year,Month,Day,Note,Frequency,DescriptorUI,Source,ConceptUI,RegistryNumber,TermUI,ThesaurusID,QualifierUI,PreviousIndexing,CASN1Name,Concept1UI,Concept2UI,DataSource,FileLocator,NameOfSubstance,Synonyms,RelatedRegistryNumber,ClassificationCode,MolecularFormula,DescriptorName,OtherRegistryNumber,FormulaFragment,SuperListName,SuperlistClassCode,InternetLocator,SuperlistLocator,MixtureName,GroupNo,Volume,id
0,100005,,4-Chloronitrobenzene,In prep.,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,"65, 123",
1,100027,,"Nitrophenol||Nitrophenol|Phenol, 4-nitro-",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,056301
2,10004441,,"Methylisoxazol-3-ol|Hymexazol||Isoxazolol, 5-methyl- (7CI)|Hydroxy-5-methylisoxazole|Tachigaren 70WP fungicide|Tachigaren Technical|SF-6505",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,129107
3,10007859,,"Potassium 3,6-dichloro-o-anisate|Dicamba, potassium salt||Dichloro-o-anisic acid, potassium salt|Benzoic acid, 3,6-dichloro-2-methoxy-, potassium salt|Marksman Herbicide, component of (with 080803)|Dicamba K for manufacturing purposes only---cold stabilized",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,129043
4,100174,,<i>para</i>-Nitroanisole,In prep.,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,123,
5,100245656,,Bromo-1-chloro-5-ethyl-5-methylhydantoin|,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,128990
6,10026241,,Cobalt sulfate and other soluble cobalt(II) salts,2006,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,86,
7,10028225,,Ferric sulfate|,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,034902
8,10028247,,"Phosphoric acid, disodium salt, dihydrate||Disodium monohydrogen phosphate dihydrate|Disodium orthophosphate dihydrate",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,076415
9,10034852,,Hydriodic acid|,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,046912
10,100403,,4-Vinylcyclohexene,1994,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,"Sup 7, 60",
11,100414,,Ethylbenzene,2000,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,77,
12,100425,,Styrene,In prep.,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2A,"60, 82, 121",
13,10042714,,"Sodium (2-naphthyloxy)acetate||Naphthyloxyacetic acid, sodium salt|Naphthoxyacetic acid, sodium salt|Naphthoxy)acetic acid, sodium salt",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,055602
14,10042849,,"Nitrilotriacetic acid, sodium salt||Sodium nitrilotriacetate|Bis(carboxymethyl)glycine, sodium salt|Nitrilotriacetic acid, disodium salt (CAS 15467-20-6)|NTA, disodium salt (CAS 15467-20-6)|NTA, sodium salt",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,210100
15,10043013,,"Aluminum sulfate||Sulfuric acid, aluminum salt (3:2)",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,013906
